Year,Quarter,MType,資料日期,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
2023,1,otc,2025-11-17,1240,茂生農經,55796,-16665,34537,,73668,55531,129199
2023,1,otc,2025-11-17,1259,安心,20705,-262919,-127896,49,-370061,1078902,708841
2023,1,otc,2025-11-17,1264,德麥,266100,6794,-248570,-819,23505,689072,712577
2023,1,otc,2025-11-17,1268,漢來美食,111667,-267664,-24591,,-180588,824450,643862
2023,1,otc,2025-11-17,1336,台翰,52337,-41762,-21266,227,-10464,679818,669354
2023,1,otc,2025-11-17,1565,精華,-54956,-52572,-137055,68,-244515,2283352,2038837
2023,1,otc,2025-11-17,1569,濱川,-137476,-49992,168239,-4350,-23579,1322472,1298893
2023,1,otc,2025-11-17,1570,力肯,3055,-370,-476,43,2252,162927,165179
2023,1,otc,2025-11-17,1580,新麥,16773,-47025,-82732,-2466,-115450,742389,626939
2023,1,otc,2025-11-17,1584,精剛,61371,44671,-61246,,44796,254835,299631
2023,1,otc,2025-11-17,1586,和勤,9119,-6294,-1701,1164,2288,351084,353372
2023,1,otc,2025-11-17,1591,駿吉-KY,-13834,95,-12,-2287,-16038,176005,159967
2023,1,otc,2025-11-17,1593,祺驊,20872,-36578,227,1333,-14146,331929,317783
2023,1,otc,2025-11-17,1595,川寶,-111878,7929,-2368,-5241,-111558,1442401,1330843
2023,1,otc,2025-11-17,1599,宏佳騰,-308805,-19118,-319,84,-328158,940261,612103
2023,1,otc,2025-11-17,1742,台蠟,-169609,-60063,152148,4040,-73484,137734,64250
2023,1,otc,2025-11-17,1777,生泰,39831,-26196,2656,,16291,844960,861251
2023,1,otc,2025-11-17,1781,合世,-29618,-4137,-6160,20,-39895,156640,116745
2023,1,otc,2025-11-17,1784,訊聯,6021,-74116,8071,-98,-60122,161614,101492
2023,1,otc,2025-11-17,1785,光洋科,274931,-505235,240234,13442,23372,2206839,2230211
2023,1,otc,2025-11-17,1788,杏昌,-5945,-19814,460677,295,435213,324220,759433
2023,1,otc,2025-11-17,1796,金穎生技,9517,-29336,6564,112,-13143,100690,87547
2023,1,otc,2025-11-17,1799,易威,-20896,27392,-2391,665,4770,159025,163795
2023,1,otc,2025-11-17,1813,寶利徠,-1668,-1935,18583,1492,16472,179006,195478
2023,1,otc,2025-11-17,1815,富喬,-141647,-115390,262423,-21371,-15985,1439372,1423387
2023,1,otc,2025-11-17,2035,唐榮公司,-502456,-30254,52842,,-479868,507044,27176
2023,1,otc,2025-11-17,2061,風青,34873,-18100,-14486,612,2899,91285,94184
2023,1,otc,2025-11-17,2063,世鎧,89652,-9425,-94746,222,-14297,252722,238425
2023,1,otc,2025-11-17,2064,晉椿,128572,-7082,-89185,4372,36677,246778,283455
2023,1,otc,2025-11-17,2065,世豐,159859,-73824,-137478,-73,-51516,391924,340408
2023,1,otc,2025-11-17,2066,世德,70881,-4263,-1496,-1162,63960,646601,710561
2023,1,otc,2025-11-17,2067,嘉鋼,-761,18600,-2199,-1924,13716,115330,129046
2023,1,otc,2025-11-17,2070,精湛,6622,-792,-3908,265,2187,295489,297676
2023,1,otc,2025-11-17,2073,雄順,7363,-8254,8587,,7696,46730,54426
2023,1,otc,2025-11-17,2221,大甲,71256,-10297,-18186,50,42823,277334,320157
2023,1,otc,2025-11-17,2230,泰茂,20761,-39201,99246,-5965,74841,287125,361966
2023,1,otc,2025-11-17,2235,謚源,3289,259612,-266825,,-3924,442155,438231
2023,1,otc,2025-11-17,2596,綠意,-257659,66350,65000,,-126309,236345,110036
2023,1,otc,2025-11-17,2640,大車隊,123459,-126385,-47325,,-50251,635676,585425
2023,1,otc,2025-11-17,2641,正德,151086,-472198,-99333,-15637,-436082,1597253,1161171
2023,1,otc,2025-11-17,2643,捷迅,196528,52564,-6110,-16986,225996,1011594,1237590
2023,1,otc,2025-11-17,2718,全心投控,786588,-1821,-748845,,35922,901145,937067
2023,1,otc,2025-11-17,2719,燦星旅,-323,-26996,-1081,,-28400,404179,375779
2023,1,otc,2025-11-17,2724,藝舍-KY,25506,110900,-22444,337,114299,45624,159923
2023,1,otc,2025-11-17,2726,雅茗-KY,14809,4964,-22744,-7064,-10035,313675,303640
2023,1,otc,2025-11-17,2729,瓦城,274121,-153863,-174402,-589,-54733,388222,333489
2023,1,otc,2025-11-17,2732,六角,166847,-43996,-15348,-1803,105700,816632,922332
2023,1,otc,2025-11-17,2734,易飛網,-11830,-6452,1972,-40,-16350,308154,291804
2023,1,otc,2025-11-17,2736,富野,41190,-39250,-23638,-12,-21710,408103,386393
2023,1,otc,2025-11-17,2740,天蔥,-16894,-3267,-3328,,-23489,178523,155034
2023,1,otc,2025-11-17,2743,山富,-41059,-31441,101400,,28900,451973,480873
2023,1,otc,2025-11-17,2745,五福,-23965,100,131866,,108001,264715,372716
2023,1,otc,2025-11-17,2752,豆府,64864,-22815,-30767,-33,11249,848174,859423
2023,1,otc,2025-11-17,2754,亞洲藏壽司,244961,-95049,-54851,600,95661,376186,471847
2023,1,otc,2025-11-17,2755,揚秦,-19576,-179995,16168,-160,-183563,552733,369170
2023,1,otc,2025-11-17,2756,聯發國際,460,-2619,-4400,-1650,-8209,398141,389932
2023,1,otc,2025-11-17,2916,滿心,215999,-30442,-55000,,130557,119051,249608
2023,1,otc,2025-11-17,2924,宏太-KY,-8956,216,15113,-87,6286,48026,54312
2023,1,otc,2025-11-17,2926,誠品生活,248933,-85229,-226807,-4024,-67127,1325295,1258168
2023,1,otc,2025-11-17,2937,集雅社,-5194,-57858,-151707,,-214759,364810,150051
2023,1,otc,2025-11-17,2941,米斯特,37391,-5546,-7083,,24762,125707,150469
2023,1,otc,2025-11-17,2947,振宇五金,-4722,-47273,79598,,27603,200098,227701
2023,1,otc,2025-11-17,2948,寶陞,102393,-12925,-80031,-8963,474,155160,155634
2023,1,otc,2025-11-17,2949,欣新網,1201,74333,102760,,178294,119924,298218
2023,1,otc,2025-11-17,3064,泰偉,-8359,1236,-3162,-12773,-23058,63810,40752
2023,1,otc,2025-11-17,3066,李洲,-2316,-41226,-62679,1166,-105055,368589,263534
2023,1,otc,2025-11-17,3067,全域,3668,0,-966,58,2760,259768,262528
2023,1,otc,2025-11-17,3071,協禧,99133,-13064,-20656,5521,70934,1163386,1234320
2023,1,otc,2025-11-17,3073,天方能源,28980,173508,-224664,13,-22163,178730,156567
2023,1,otc,2025-11-17,3078,僑威,597207,319770,10021,5718,932716,1847595,2780311
2023,1,otc,2025-11-17,3081,聯亞,136436,-1082786,-2055,672,-947733,1643506,695773
2023,1,otc,2025-11-17,3083,網龍,-15799,11961,-2105,-586,-6529,294275,287746
2023,1,otc,2025-11-17,3085,新零售,-4676,-165,-1328,0,-6169,74791,68622
2023,1,otc,2025-11-17,3086,華義,16534,-4079,-14755,,-2300,116629,114329
2023,1,otc,2025-11-17,3088,艾訊,-105468,-72446,82725,-2067,-97256,1031621,934365
2023,1,otc,2025-11-17,3093,港建*,-33357,-12887,-620,-354,-47218,1205466,1158248
2023,1,otc,2025-11-17,3095,及成,-10342,-4476,-8726,-1236,-24780,116929,92149
2023,1,otc,2025-11-17,3105,穩懋,-441433,-615713,1073262,10339,26455,10379712,10406167
2023,1,otc,2025-11-17,3114,好德,185481,285,-61767,-6024,117975,1024059,1142034
2023,1,otc,2025-11-17,3115,富榮綱,16853,0,-574,3891,20170,234132,254302
2023,1,otc,2025-11-17,3118,進階,5178,-3649,-686,,843,463496,464339
2023,1,otc,2025-11-17,3122,笙泉,15098,-869,3971,-63,18137,143762,161899
2023,1,otc,2025-11-17,3128,昇銳,34106,-3078,34942,3808,69778,81114,150892
2023,1,otc,2025-11-17,3131,弘塑,-1120,-246103,188656,936,-57631,1921122,1863491
2023,1,otc,2025-11-17,3141,晶宏,-81091,-61894,-10656,1207,-152434,940347,787913
2023,1,otc,2025-11-17,3147,大綜,-121927,-38932,196821,-2193,33769,61819,95588
2023,1,otc,2025-11-17,3152,璟德,190999,-113170,,,77829,596367,674196
2023,1,otc,2025-11-17,3162,精確,-383904,-33506,232267,15914,-169229,705851,536622
2023,1,otc,2025-11-17,3163,波若威,181683,-7991,-6718,4070,171044,1158753,1329797
2023,1,otc,2025-11-17,3169,亞信,97805,-12263,-301,-1266,83975,1565740,1649715
2023,1,otc,2025-11-17,3171,炎洲流通,69083,53056,-750,16,121405,94296,215701
2023,1,otc,2025-11-17,3176,基亞,11007,-371566,36530,-2514,-326543,2040633,1714090
2023,1,otc,2025-11-17,3178,公準,21416,-38871,-69319,81,-86693,332988,246295
2023,1,otc,2025-11-17,3188,鑫龍騰,-291378,-229,212463,,-79144,261734,182590
2023,1,otc,2025-11-17,3191,雲嘉南,-989,-13,-5978,-121,-7101,258816,251715
2023,1,otc,2025-11-17,3205,佰研,-57012,53451,-2101,203,-5459,189480,184021
2023,1,otc,2025-11-17,3206,志豐,202177,9794,-3668,-4793,203510,722198,925708
2023,1,otc,2025-11-17,3207,耀勝,17010,-76636,44155,-1251,-16722,325396,308674
2023,1,otc,2025-11-17,3211,順達,1191888,-364449,-171104,-22988,633347,3057536,3690883
2023,1,otc,2025-11-17,3213,茂訊,-25759,-31492,-3148,-320,-60719,488751,428032
2023,1,otc,2025-11-17,3217,優群,193616,-26515,29469,5874,202444,1299406,1501850
2023,1,otc,2025-11-17,3218,大學光,462748,-125355,-38490,1730,300633,703019,1003652
2023,1,otc,2025-11-17,3219,倚強科,57863,-268228,-5647,255,-215757,852906,637149
2023,1,otc,2025-11-17,3221,台嘉碩,-40006,-18177,-38933,725,-96391,909235,812844
2023,1,otc,2025-11-17,3224,三顧,71305,-3414,25505,-4451,88945,2049403,2138348
2023,1,otc,2025-11-17,3226,龍鋒,190560,-91686,-2417,-1958,94499,546541,641040
2023,1,otc,2025-11-17,3227,原相,-155108,-22163,-10091,-7709,-195071,3862605,3667534
2023,1,otc,2025-11-17,3228,金麗科,1616,-80079,2734,,-75729,169638,93909
2023,1,otc,2025-11-17,3230,錦明,-11851,105,18158,1257,7669,265555,273224
2023,1,otc,2025-11-17,3232,昱捷,-49155,-6133,47218,-315,-8385,175696,167311
2023,1,otc,2025-11-17,3234,光環,-9952,22988,9107,-61,22082,252870,274952
2023,1,otc,2025-11-17,3236,千如,114402,-40805,41528,-886,114239,617299,731538
2023,1,otc,2025-11-17,3252,海灣,15408,-2097,-19407,,-6096,74272,68176
2023,1,otc,2025-11-17,3259,鑫創,20102,-1442,4784,,23444,65952,89396
2023,1,otc,2025-11-17,3260,威剛,-807146,-337301,-1577137,69768,-2651816,5144994,2493178
2023,1,otc,2025-11-17,3264,欣銓,2023592,-1923009,-428962,19791,-308588,2954525,2645937
2023,1,otc,2025-11-17,3265,台星科,403482,-1107159,-646,-11571,-715894,1719592,1003698
2023,1,otc,2025-11-17,3268,海德威,-8232,25975,-867,74,16950,112557,129507
2023,1,otc,2025-11-17,3272,東碩,385999,-3358,-493044,5620,-104783,550366,445583
2023,1,otc,2025-11-17,3276,宇環,36809,-15681,9028,,30156,163125,193281
2023,1,otc,2025-11-17,3284,太普高,49956,-138187,-35231,881,-122581,352980,230399
2023,1,otc,2025-11-17,3285,微端,12679,11684,-4918,-1003,18442,430687,449129
2023,1,otc,2025-11-17,3287,廣寰科,30610,6512,-3762,524,33884,142211,176095
2023,1,otc,2025-11-17,3288,點晶,6286,-576,-10221,-1103,-5614,9265,3651
2023,1,otc,2025-11-17,3289,宜特,152319,-247145,-26533,6382,-114977,875347,760370
2023,1,otc,2025-11-17,3290,東浦,237601,77290,52662,4483,372036,738597,1110633
2023,1,otc,2025-11-17,3293,鈊象,1420148,-6083057,-721,1280,-4662350,8525288,3862938
2023,1,otc,2025-11-17,3294,英濟,105300,-370092,-195884,12061,-448615,1756579,1307964
2023,1,otc,2025-11-17,3297,杭特,-17898,-148665,24964,-2020,-143619,219873,76254
2023,1,otc,2025-11-17,3303,岱稜,56463,-29581,17296,-178,44000,445834,489834
2023,1,otc,2025-11-17,3306,鼎天,14969,-5319,-2395,13,7268,488531,495799
2023,1,otc,2025-11-17,3310,佳穎,-32514,32849,14051,244,14630,460677,475307
2023,1,otc,2025-11-17,3313,斐成,-21504,384396,-502245,,-139353,248046,108693
2023,1,otc,2025-11-17,3317,尼克森,-152385,670,-575,46,-152244,1201443,1049199
2023,1,otc,2025-11-17,3322,建舜電,125243,-40022,24465,1970,111656,350797,462453
2023,1,otc,2025-11-17,3323,加百裕,112522,-267944,-207899,-1290,-364611,1131007,766396
2023,1,otc,2025-11-17,3324,雙鴻,321334,-189991,-206537,6302,-68892,1483701,1414809
2023,1,otc,2025-11-17,3325,旭品,-69129,-11001,105655,-2550,22975,439153,462128
2023,1,otc,2025-11-17,3332,幸康,15374,-44902,89570,-11957,48085,995854,1043939
2023,1,otc,2025-11-17,3339,泰谷,-11159,9439,-39,,-1759,394172,392413
2023,1,otc,2025-11-17,3349,寶德,-29817,-11831,-3520,-1158,-46326,249574,203248
2023,1,otc,2025-11-17,3354,律勝,-8841,-3059,-14405,16,-26289,422622,396333
2023,1,otc,2025-11-17,3357,臺慶科,243078,-1608415,898825,4795,-461717,1528877,1067160
2023,1,otc,2025-11-17,3360,尚立,-353724,-1369,153461,-3002,-204634,580219,375585
2023,1,otc,2025-11-17,3362,先進光,-85437,-223550,230875,-1715,-79827,614071,534244
2023,1,otc,2025-11-17,3363,上詮,23058,-34690,-6696,-3050,-21378,561256,539878
2023,1,otc,2025-11-17,3372,典範,-7297,-39155,-619,,-47071,601911,554840
2023,1,otc,2025-11-17,3373,熱映,-5287,-5158,,-1183,-11628,197259,185631
2023,1,otc,2025-11-17,3374,精材,697807,-76455,-10495,,610857,3510150,4121007
