Year,Quarter,MType,資料日期,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,繼續營業單位本期淨利（淨損）,本期淨利（淨損）,其他綜合損益（淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,保險服務結果,財務結果,其他營業結果,繼續營業單位稅前純益（純損）,繼續營業單位本期純益（純損）,其他綜合損益（稅後淨額）,基本每股盈餘,收入,支出,其他綜合損益,收益,支出及費用,營業利益,營業外損益,本期其他綜合損益（稅後淨額）
2026,2,otc,2026-08-20,1240,茂生農經,,,,131685.0,,15197,,,,,,,,,,,130213,,318,2.85,1440672.0,1267704,21939,24180,219087.0,,,219087.0,,87402.0,54301.0,141703,126506,126506,4025,130531,126188,,318,,,,,,,,,,,,,,,
2026,2,otc,2026-08-20,1259,安心,,,,711174.0,,1782,,,,,,,,,,,-167624,,401,2.02,3091195.0,2373772,,,717423.0,,,717423.0,,6249.0,61251.0,67500,65718,65718,-232941,-167223,65317,,401,,,,,,,,,,,,,,,
2026,2,otc,2026-08-20,1264,德麥,,,,573111.0,,138328,,,,,,,,,,,436421,,88566,11.01,3512615.0,2352398,,,1160217.0,,,1160217.0,,587106.0,17243.0,604349,466021,466021,58966,524987,407978,,58043,,,,,,,,,,,,,,,
2026,2,otc,2026-08-20,1268,漢來美食,,,,1301925.0,,86886,,,,,,,,,,,435408,,,9.21,3675641.0,1916952,,,1758689.0,,,1758689.0,,456764.0,19126.0,475890,389004,389004,46404,435408,389004,,,,,,,,,,,,,,,,,
2026,2,otc,2026-08-20,1294,漢田生技,,,,61467.0,,19811,,,,,,,,,,,80824,,11,2.22,455326.0,294582,,,160744.0,,,160744.0,,99277.0,1369.0,100646,80835,80835,,80835,80824,,11,,,,,,,,,,,,,,,
2026,2,otc,2026-08-20,1295,生合,,,,177696.0,,7127,,,,,,,,,,,83521,,,1.97,510716.0,256589,,,254127.0,,,254127.0,,76431.0,-1271.0,75160,68033,68033,15488,83521,68033,,,,,,,,,,,,,,,,,
2026,2,otc,2026-08-20,1336,台翰,,,,150977.0,,14829,,,,,,,,,,,59941,,,0.41,1247607.0,1064666,,,182941.0,,,182941.0,,31964.0,14977.0,46941,32112,32112,27829,59941,32112,,,,,,,,,,,,,,,,,
2026,2,otc,2026-08-20,1565,精華,,,,164898.0,,41692,,,,,,,,,,,152011,,,3.0,1780360.0,1444589,,,335771.0,,,335771.0,,170873.0,22275.0,193148,151456,151456,555,152011,151456,,,,,,,,,,,,,,,,,
2026,2,otc,2026-08-20,1569,濱川,,,,284018.0,,63458,,,,,,,,,,,-164970,,17820,-1.67,1624996.0,1514234,,,110762.0,,,110762.0,,-173256.0,16651.0,-156605,-220063,-220063,72913,-147150,-236976,,16913,,,,,,,,,,,,,,,
2026,2,otc,2026-08-20,1570,力肯,,,,36222.0,,6892,,,,,,,,,,,73580,,,0.54,288259.0,224517,,,63742.0,,,63742.0,,27520.0,7221.0,34741,27849,27849,45731,73580,27849,,,,,,,,,,,,,,,,,
