Year,Quarter,MType,資料日期,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益－具證券性質之虛擬通貨,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值,權益─具證券性質之虛擬通貨,保留盈餘,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,保險合約資產,再保險合約資產,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,保險合約負債,再保險合約負債,租賃負債,遞延所得稅負債,其他負債,負債總額,權益總額,應收款項,本期所得稅資產,待出售資產,待分配予業主之資產（或處分群組）,按攤銷後成本衡量之金融資產,避險之金融資產,投資性不動產,放款,不動產及設備,使用權資產,無形資產,其他資產,分離帳戶保險商品資產,短期債務,本期所得稅負債,避險之衍生金融負債,應付債券
2026,2,otc,2026-08-20,1240,茂生農經,1285947,1029176,2315123,702217,51327,753544,464440,,144279,,95998,,,,,61576,1561579,,0,,33.91,,795286.0,1500003,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2,otc,2026-08-20,1259,安心,1743835,5435597,7179432,2086650,2279302,4365952,323895,,809816,,606599,,,,,8683,2813480,0,0,,86.6,,1064487.0,2804797,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2,otc,2026-08-20,1264,德麥,3396657,2789114,6185771,1690983,94156,1785139,370524,,673219,,37649,0,,,,849163,4400632,,0,,95.85,,2470077.0,3551469,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2,otc,2026-08-20,1268,漢來美食,2360830,5143168,7503998,2448996,2653768,5102764,422237,,1123334,,18341,,,,,,2401234,,0,,56.87,,837322.0,2401234,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2,otc,2026-08-20,1294,漢田生技,632919,594131,1227050,316249,88513,404762,366259,,313785,,,-28362,,,,3080,822288,,0,,27.06,,167526.0,819208,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2,otc,2026-08-20,1295,生合,911192,2314828,3226020,836734,1078610,1915344,344748,,402588,,19027,,,,,,1310676,0,0,,38.02,,544313.0,1310676,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2,otc,2026-08-20,1336,台翰,1421203,1973502,3394705,1174952,320560,1495512,776144,,676871,,-122798,,,,,,1899193,0,0,,24.47,,568976.0,1899193,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2,otc,2026-08-20,1565,精華,4110234,3617036,7727270,1183403,133369,1316772,504165,,526000,,2200,,,,,,6410498,0,0,,127.15,,5378133.0,6410498,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2,otc,2026-08-20,1569,濱川,4010131,2982886,6993017,3098257,748626,3846883,1442474,,1809696,,-18439,,,,,175313,3146134,,0,,20.6,,-262910.0,2970821,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2,otc,2026-08-20,1570,力肯,878316,316555,1194871,148929,8833,157762,515008,,,,94983,,,,,,1037109,0,0,,20.14,,427118.0,1037109,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
